GOBPID	Pvalue	BHPvalue	OddsRatio	ExpCount	Count	Size	Term	Genes
GO:0048704	0.000199328309629027	0.0624540132096322	31.9619047619048	0.1168428054098	3	93	embryonic skeletal system morphogenesis	COL11A1, HOXA4, OSR1
GO:0003401	0.000720765923268615	0.0624540132096322	59.9288888888889	0.0402039760549849	2	32	axis elongation	SFRP1, SPRY2
GO:0043583	0.00162716077140598	0.0624540132096322	15.1892097264438	0.239967482078191	3	191	ear development	COL11A1, SPRY2, OSR1
GO:0009952	0.00172673233437397	0.0624540132096322	14.8683035714286	0.244992979085064	3	195	anterior/posterior pattern specification	HOXA4, SFRP1, OSR1
GO:0001501	0.002205487488973	0.0624540132096322	8.8110661268556	0.577932155790407	4	460	skeletal system development	COL11A1, HOXA4, SFRP1, OSR1
GO:0090596	0.00311763287620738	0.0717796545919558	12.00452079566	0.301529820412386	3	240	sensory organ morphogenesis	COL11A1, SPRY2, OSR1
GO:0035282	0.00522007174768841	0.0785758168336256	21.0650980392157	0.10930455989949	2	87	segmentation	SFRP1, OSR1
GO:0001655	0.00566581296251547	0.0785980078613261	9.63556851311953	0.373143152760328	3	297	urogenital system development	MME, SFRP1, OSR1
GO:0042472	0.00619369678133404	0.0785980078613261	19.2415770609319	0.119355553913236	2	95	inner ear morphogenesis	COL11A1, SPRY2
GO:0045995	0.00632081881402273	0.0785980078613261	19.0354609929078	0.120611928164955	2	96	regulation of embryonic development	SFRP1, OSR1
GO:0001657	0.00657864415018983	0.0795668064323408	18.6361111111111	0.123124676668391	2	98	ureteric bud development	SFRP1, OSR1
GO:0072163	0.00670934178423597	0.0795668064323408	18.4426116838488	0.124381050920109	2	99	mesonephric epithelium development	SFRP1, OSR1
GO:0007605	0.00756917659825732	0.0795668064323408	17.3909090909091	0.132573795960642	2	112	sensory perception of sound	GJB2, SPRY2
GO:0060562	0.0126920010560266	0.0935036743618566	13.1958041958042	0.173548773189707	2	145	epithelial tube morphogenesis	SFRP1, OSR1
GO:0050679	0.0127043020546732	0.0935036743618566	13.1156862745098	0.173379646737122	2	138	positive regulation of epithelial cell proliferation	SFRP1, OSR1
GO:0043009	0.0127505010493441	0.0935036743618566	7.15053367684947	0.503212311370088	3	421	chordate embryonic development	COL11A1, HOXA4, OSR1
GO:0060548	0.0151609154249201	0.10286132147108	4.95579357351509	0.997561155864312	4	794	negative regulation of cell death	SCT, SFRP1, SPRY2, OSR1
GO:0030278	0.0176230935387515	0.10286132147108	10.9893004115226	0.206045377281797	2	164	regulation of ossification	SFRP1, OSR1
GO:0001822	0.0231156461664038	0.121254865423959	9.52835606604451	0.238434163701068	2	201	kidney development	MME, SFRP1
GO:0006469	0.0232260206008063	0.121254865423959	9.45106382978723	0.238711107826473	2	190	negative regulation of protein kinase activity	SFRP1, SPRY2
GO:0044344	0.0246114970453539	0.121254865423959	9.15463917525773	0.246249353336782	2	196	cellular response to fibroblast growth factor stimulus	SFRP1, SPRY2
GO:0045216	0.0250808080919193	0.121254865423959	9.05986394557823	0.248762101840219	2	198	cell-cell junction organization	GJB2, SFRP1
GO:0034329	0.0257917259998	0.121254865423959	8.9212730318258	0.252531224595374	2	201	cell junction assembly	GJB2, SFRP1
GO:0009628	0.0275179566326595	0.124922787253025	4.0878191575866	1.19355553913236	4	950	response to abiotic stimulus	COL11A1, MME, SCT, SFRP1
GO:0022414	0.0353883206980159	0.139408009057818	3.75697420858711	1.29029635651467	4	1027	reproductive process	EPYC, GJB2, SFRP1, OSR1
GO:0032501	0.0364561236445824	0.139408009057818	2.95068125119939	6.06434876877807	10	5221	multicellular organismal process	COL11A1, EPYC, HOXA4, MATN2, MME, SCT, SGCE, SPRY2, KIF4A, OSR1
GO:0001101	0.0379704783136936	0.139408009057818	7.19132791327913	0.311580814426133	2	248	response to acid chemical	SFRP1, OSR1
GO:0003008	0.0410231727155777	0.145746924182052	3.13815235690236	1.99637868598034	5	1589	system process	COL11A1, GJB2, MME, SCT, SPRY2
GO:0051348	0.0485252056860705	0.155205460898219	6.25626477541371	0.356810287487991	2	284	negative regulation of transferase activity	SFRP1, SPRY2
GO:0009790	0.0487738047362274	0.155205460898219	4.20106524633822	0.844912595248767	3	754	embryo development	COL11A1, HOXA4, SPRY2
