GOBPID	Pvalue	BHPvalue	OddsRatio	ExpCount	Count	Size	Term	Genes
GO:0048285	3.21034118451129e-05	0.0435322264619731	4.69926532578586	2.92010937846427	12	449	organelle fission	SMC4, SPAG5, CENPE, UBE2C, CDCA5, TPX2, KIF4A, RACGAP1, MKI67, CDCA8, RAD51, TRIP13
GO:0030574	0.00011005093483961	0.0608328358118274	11.8488660524451	0.474761658414012	5	73	collagen catabolic process	COL10A1, COL11A1, MMP1, MMP11, MMP13
GO:0022617	0.000134585919937671	0.0608328358118274	8.48016967126193	0.78693370778213	6	121	extracellular matrix disassembly	ADAMTS5, COL10A1, COL11A1, MMP1, MMP11, MMP13
GO:0048704	0.000345030991699493	0.116965506186128	13.4086345381526	0.3353595255745	4	52	embryonic skeletal system morphogenesis	COL11A1, OSR1, HOXA4, HOXA7
GO:0045578	0.00061672749420746	0.120141808952637	78.1337209302326	0.0390215061710147	2	6	negative regulation of B cell differentiation	INHBA, SFRP1
GO:0051256	0.00061672749420746	0.120141808952637	78.1337209302326	0.0390215061710147	2	6	mitotic spindle midzone assembly	KIF4A, RACGAP1
GO:0043552	0.000620201078664053	0.120141808952637	20.5933503836317	0.16909319340773	3	26	positive regulation of phosphatidylinositol 3-kinase activity	FGF2, IRS1, PDGFRA
GO:0006302	0.000944365152056605	0.123572060263309	7.23542819928362	0.754415785972951	5	116	double-strand break repair	CDCA5, PARP1, FEN1, RAD51, TRIP13
GO:0044259	0.000944365152056605	0.123572060263309	7.23542819928362	0.754415785972951	5	116	multicellular organismal macromolecule metabolic process	COL10A1, COL11A1, MMP1, MMP11, MMP13
GO:0007080	0.000950456390637865	0.123572060263309	17.5372549019608	0.195107530855074	3	30	mitotic metaphase plate congression	CENPE, CDCA5, CDCA8
GO:0032501	0.00100242821747522	0.123572060263309	2.04627776893517	32.7474833514016	47	5221	multicellular organismal process	SPRY2, TACC3, CENPE, PLAC1, LRIG3, COL10A1, COL11A1, OSR1, PARP1, CST1, CST2, DACT2, EPYC, FEN1, FGF2, FIGF, ABCA5, KIF4A, IGSF10, SCARA5, HOXA4, HOXA7, IBSP, ID4, IRS1, STMN1, MATN2, MID1, MME, MMP1, MMP11, MMP13, NAP1L2, NFIB, NTRK2, PLA2G4A, PLAGL1, LIMS2, PROS1, RHOJ, NDRG2, S100B, SCT, CTTNBP2, SGCE, CD80, SLC25A27
GO:0072239	0.00146145246850146	0.156118105871978	44.6378737541528	0.0585322592565221	2	9	metanephric glomerulus vasculature development	OSR1, PDGFRA
GO:0034453	0.00149670750467236	0.156118105871978	14.7915441176471	0.227625452664252	3	35	microtubule anchoring	SPAG5, CENPE, RACGAP1
GO:0051988	0.00181909981408499	0.176192810564232	39.0552325581395	0.0650358436183578	2	10	regulation of attachment of spindle microtubules to kinetochore	SPAG5, RACGAP1
GO:0007076	0.0022139581897734	0.200141820355515	34.7131782945736	0.0715394279801936	2	11	mitotic chromosome condensation	SMC4, CDCA5
GO:0043550	0.00254063371727899	0.202652901213548	12.1303167420814	0.273150543197103	3	42	regulation of lipid kinase activity	FGF2, IRS1, PDGFRA
GO:0051303	0.00254063371727899	0.202652901213548	12.1303167420814	0.273150543197103	3	42	establishment of chromosome localization	CENPE, CDCA5, CDCA8
GO:0016043	0.00307033469656289	0.209972866539268	2.64457738917012	6.33275439313445	14	1127	cellular component organization	SPRY2, ADAMTS5, COL10A1, PARP1, DACT2, FEN1, FGF2, IBSP, RND3, MATN2, MKI67, MMP13, NFIB, CDCA8
