KEGGID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	Genes
04110	1.36817071345771e-05	7.33142857142857	1.48247267244629	9	114	Cell cycle	BUB1, BUB1B, CCNB1, CDC6, MCM4, PLK1, CCNE2, PTTG1, PTTG2
04114	0.000429845265719734	5.79983870967742	1.39144364869959	7	107	Oocyte meiosis	BUB1, CCNB1, PLK1, AURKA, CCNE2, PTTG1, PTTG2
05322	0.00343701617448216	4.52292768959436	1.48247267244629	6	114	Systemic lupus erythematosus	CD80, HIST1H2AM, HIST2H2AA3, HIST1H2BH, HIST1H3H, HIST1H3F
00565	0.00664724574639673	8.77104377104377	0.390124387485865	3	30	Ether lipid metabolism	PLA2G4A, PLD1, PPAP2B
05200	0.00731602299912815	2.72180202064815	4.12231436110064	10	317	Pathways in cancer	BIRC5, EGFR, FGF2, FIGF, GSTP1, MMP1, PDGFRA, PLD1, RAD51, CCNE2
04060	0.0114290928313423	2.85502494654312	3.09498680738786	8	238	Cytokine-cytokine receptor interaction	EGFR, FIGF, CXCL2, IL11RA, INHBA, LIFR, PDGFRA, TSLP
05212	0.0126126792630222	4.82144522144522	0.910290237467018	4	70	Pancreatic cancer	EGFR, FIGF, PLD1, RAD51
05219	0.0147500781862047	6.38820638820639	0.520165849981153	3	40	Bladder cancer	EGFR, FIGF, MMP1
04970	0.0222998733637365	4.01791626095424	1.07934413871089	4	83	Salivary secretion	ADRB2, CST1, CST2, RYR3
05215	0.0259926985479602	3.82131603336423	1.13136072370901	4	87	Prostate cancer	EGFR, GSTP1, PDGFRA, CCNE2
04115	0.0499491633559977	3.85692995529061	0.832265359969845	3	64	p53 signaling pathway	CCNB1, CCNE2, GTSE1
00564	0.0538734623682148	3.73304473304473	0.858273652468903	3	66	Glycerophospholipid metabolism	PLA2G4A, PLD1, PPAP2B
05218	0.062153536606458	3.50746268656716	0.910290237467018	3	70	Melanoma	EGFR, FGF2, PDGFRA
03410	0.0679675115730828	5.01299951853635	0.429136826234452	2	33	Base excision repair	PARP1, FEN1
03030	0.0753461881470902	4.70737222976029	0.455145118733509	2	35	DNA replication	FEN1, MCM4
04914	0.095377041301813	2.89337822671156	1.09234828496042	3	84	Progesterone-mediated oocyte maturation	BUB1, CCNB1, PLK1
04510	0.105056894083341	2.09815492021277	2.50980022615907	5	193	Focal adhesion	COL11A1, EGFR, FIGF, IBSP, PDGFRA
04666	0.105980112726967	2.75508021390374	1.14436486995854	3	88	Fc gamma R-mediated phagocytosis	PLA2G4A, PLD1, PPAP2B
00240	0.105980112726967	2.75508021390374	1.14436486995854	3	88	Pyrimidine metabolism	DTYMK, TK1, POLR3K
04975	0.107124134887631	3.78303603931562	0.55917828872974	2	43	Fat digestion and absorption	PLA2G4A, PPAP2B
04630	0.11241581238601	2.27380156075808	1.84658876743309	4	142	Jak-STAT signaling pathway	IL11RA, LIFR, SPRY2, TSLP
04010	0.114181027364659	1.89980952380952	3.32906143987938	6	256	MAPK signaling pathway	EGFR, FGF2, STMN1, NTRK2, PDGFRA, PLA2G4A
04912	0.131418736810386	2.48694390715667	1.2614021862043	3	97	GnRH signaling pathway	EGFR, PLA2G4A, PLD1
03450	0.156636078668372	6.4031862745098	0.169053901243875	1	13	Non-homologous end-joining	FEN1
04020	0.173946474950774	1.90356472795497	2.18469656992084	4	168	Calcium signaling pathway	ADRB2, EGFR, PDGFRA, RYR3
00982	0.197286489633321	2.53290922436995	0.819261213720317	2	63	Drug metabolism - cytochrome P450	GSTP1, MAOB
05214	0.197286489633321	2.53290922436995	0.819261213720317	2	63	Glioma	EGFR, PDGFRA
03008	0.197286489633321	2.53290922436995	0.819261213720317	2	63	Ribosome biogenesis in eukaryotes	NVL, POP1
04144	0.197564247331741	1.80133392618942	2.3017338861666	4	177	Endocytosis	ADRB2, EGFR, PDGFRA, PLD1
04614	0.19977224575066	4.79871323529412	0.22107048624199	1	17	Renin-angiotensin system	MME
00360	0.19977224575066	4.79871323529412	0.22107048624199	1	17	Phenylalanine metabolism	MAOB
00592	0.210211972550283	4.51557093425606	0.234074632491519	1	18	alpha-Linolenic acid metabolism	PLA2G4A
04120	0.21796183338716	1.92186326070624	1.61251413494158	3	124	Ubiquitin mediated proteolysis	MID1, UBE2E3, UBE2C
04974	0.23563148931503	2.23577763357127	0.923294383716547	2	71	Protein digestion and absorption	COL11A1, MME
00910	0.260430600475139	3.48596256684492	0.299095363739163	1	23	Nitrogen metabolism	CA4
